payment_id|company_id|payment_date|payment_taxrate|payment_amount|payment_calculatedtax|payment_total|payment_method|payment_remark|payment_confirmed|payment_cancelationreason|payment_createdby|mode_map|issue_bank|issue_date|issue_location|issue_refno|payment_no
524|268|07/05/2018|6|985|57.3|1042.3|Transfer||t||2|RHB Bank Berhad|||||22246
525|377|07/05/2018|6|471.7|28.3|500|Cheque||t||2|RHB Bank Berhad|Affin Bank Berhad|08/05/2018|Local||22247
526|693|07/05/2018|6|1912.26|87.74|2000|Cheque||t||2|RHB Bank Berhad|CIMB Bank Berhad|05/05/2018|Local|331171|22248
527|290|08/05/2018|6|988.35|59.3|1047.65|Transfer||t||2|RHB Bank Berhad|||||22249
528|288|14/05/2018|6|1240|65.4|1305.4|Transfer||t||2|RHB Bank Berhad|||||22253
529|468|14/05/2018|6|333.68|20.02|353.7|Transfer||t||2|RHB Bank Berhad|||||22254
530|344|14/05/2018|6|50|0|50|Transfer||t||2|RHB Bank Berhad|||||22255
531|340|14/05/2018|6|250|15|265|Transfer||t||2|RHB Bank Berhad|||||22256
532|741|14/05/2018|6|1137.74|62.26|1200|Cheque||t||2|RHB Bank Berhad|Affin Bank Berhad|30/04/2018|Local|133|22257
533|741|14/05/2018|6|238.68|11.32|250|Cheque||t||2|RHB Bank Berhad|Affin Bank Berhad|30/04/2018|Local|134|22258
534|342|15/05/2018|6|840|50.4|890.4|Cheque||t||2|RHB Bank Berhad|Affin Bank Berhad|16/05/2018|Local||22259
535|380|15/05/2018|6|430|25.8|455.8|Transfer||t||2|RHB Bank Berhad|||||22260
536|380|15/05/2018|6|639|24.3|663.3|Transfer||t||2|RHB Bank Berhad|||||22261
537|505|15/05/2018|6|1240|65.4|1305.4|Transfer||t||2|RHB Bank Berhad|||||22262
538|748|15/05/2018|6|161.04|9.66|170.7|Transfer||t||2|RHB Bank Berhad|||||22263
539|434|15/05/2018|6|610|24.6|634.6|Transfer||t||2|RHB Bank Berhad|||||22264
540|604|15/05/2018|6|648|38.88|686.88|Transfer||t||2|RHB Bank Berhad|||||22265
541|359|16/05/2018|6|840|50.4|890.4|Cheque||t||2|RHB Bank Berhad|CIMB Bank Berhad|02/05/2018|Local|620395|22266
542|455|16/05/2018|6|840|50.4|890.4|Cheque||t||2|RHB Bank Berhad|CIMB Bank Berhad|02/05/2018|Local|566915|22267
543|230|16/05/2018|6|65|3.9|68.9|Cheque||t||2|RHB Bank Berhad|CIMB Bank Berhad|02/05/2018|Local|89|22268
544|808|16/05/2018|6|480.19|19.81|500|Transfer||t||2|RHB Bank Berhad|||||22269
545|580|16/05/2018|6|400|15|415|Transfer||t||2|RHB Bank Berhad|||||22271
546|700|16/05/2018|6|400|15|415|Transfer||t||2|RHB Bank Berhad|||||22272
547|611|16/05/2018|6|400|15|415|Transfer||t||2|RHB Bank Berhad|||||22273
548|24|16/05/2018|6|188.68|11.32|200|Transfer||t||2|RHB Bank Berhad|||||22274
549|543|16/05/2018|6|840|50.4|890.4|Transfer||t||2|RHB Bank Berhad|||||22275
550|58|16/05/2018|6|1275|67.5|1342.5|Cheque||t||2|RHB Bank Berhad|Malayan Banking Berhad (Maybank)|16/05/2018|Local|194832|22276
551|533|17/05/2018|6|400|15|415|Transfer||t||2|RHB Bank Berhad|||||22278
552|438|17/05/2018|6|1437.87|1.13|1439|Transfer||t||2|RHB Bank Berhad|||||22279
553|828|18/05/2018|6|2889.62|110.38|3000|Transfer||t||2|RHB Bank Berhad|||||22280
554|726|18/05/2018|6|34|2.04|36.04|Transfer||t||2|RHB Bank Berhad|||||22282
555|810|18/05/2018|6|1572.5|85.35|1657.85|Cheque||t||2|RHB Bank Berhad|Malayan Banking Berhad (Maybank)|17/05/2018|Local|4416991|22283
556|398|18/05/2018|6|416.96|25.02|441.98|Transfer||t||2|RHB Bank Berhad|||||22284
557|352|21/05/2018|6|348.02|17.88|365.9|Transfer||t||2|RHB Bank Berhad|||||22285
558|154|21/05/2018|6|400|15|415|Transfer||t||2|RHB Bank Berhad|||||22286
559|592|21/05/2018|6|840|50.4|890.4|Transfer||t||2|RHB Bank Berhad|||||22287
560|154|21/05/2018|6|135.2|8.11|143.31|Transfer||t||2|RHB Bank Berhad|||||22288
561|154|21/05/2018|6|840|50.4|890.4|Transfer||t||2|RHB Bank Berhad|||||22289
562|592|21/05/2018|6|238.68|11.32|250|Transfer||t||2|RHB Bank Berhad|||||22290
